,Title,Shop_Name,Is_Ad,Star_Rating,Num_Reviews,Price,Is_Bestseller,Num_Sales,Num_Basket,Description,Days_to_Arrival,Cost_Delivery,Returns_Accepted,Dispatched_From,Num_Images,Category
15,Plague Doctor Birthday Card,39,0,5,395,2.70,1,"2,272",20,"For those of us who will be spending their birthdays self isolating.  A6 300 gsm card.  Also available as a bundle pack of 6: https://www.etsy.com/uk/listing/816542815/plague-doctor-bundle-pack-of-6?ref=shop_home_active_15&frs=1&crt=1  *During these strange times, you may want to post this card",3.0,0.0,0,United Kingdom,5,birthday card
16,Birthday Card - Pop Out Penis Card - Surprise - Pop Out Card - Pop Up Card - Funny Birthday Card - Dick Jokes - Banter - Dick - Willy - Cock,48,0,4.5,229,2.99,1,"2,798",20,Pop Out Penis Card Surprise Birthday Card! Give your penis loving friend a big surprise for their birthday with this hilarious pop up card!  All of our cards are printed on high quality recycled 300gsm linen card stock for a luxury feel. Every card comes with a vintage style brown envelope and,,1.0,0,United Kingdom,4,birthday card
17,Salah Birthday Card,42,0,5,"2,091",2.95,1,"17,213",20,FREE SHIPPING on all greetings cards via First Class Royal Mail. The card has been left blank inside for you to add your own personal message by hand. Posted in a board backed envelope to ensure your cards stay flat during shipping As a company we work with Offset Earth to plant trees to reduce our,2.0,0.0,0,United Kingdom,3,birthday card
18,"Boris Johnson Funny Birthday Card UK, Lockdown Card, Funny Quarantine Birthday Cards for Him, Greetings Card, for Her, Boyfriend, Girlfriend",77,0,5,"3,875",3.20,1,"38,114",20,"Boris Johnson Funny Birthday Card UK, Lockdown Card, Funny Quarantine Birthday Cards for Him, Greetings Card, for Her, Boyfriend, Girlfriend, Tory, Tories  - 3 for 2 OFFER! - Buy ANY two cards from NotNiceThings and when you place your order, leave an order note telling us which third card youd like",2.0,0.76,1,United Kingdom,4,birthday card
19,"HAPPY BIRTHDAY Best-Tea, best friend card, pun card, bestie card",33,0,5,368,2.50,1,"2,018",20,"** Please be aware that Royal Mail are reporting delays to their service due to the ongoing situation with coronavirus with deliveries taking up to a week in some areas. Please order in plenty of time and if you have any questions or concerns, do get in touch. **  Happy Birthday Best-Tea.  A fun,",5.0,0.85,1,United Kingdom,4,birthday card
20,"Happy Birthday From The Best Decision You Ever Made Greeting Card |Deadpan Birthday Card For Parent,Funny Birthday Card For Husband,For Wife",59,1,5,85,3.00,1,973,20,Every greeting card is individually printed on 324gsm card and comes with a fresh white envelope at no extra cost.  Click the link to personalise with a FREE internal message (no emojis please) and ship direct to recipient for zero contact gifting!  *Important: If you choose to personalise the card,6.0,1.95,1,United Kingdom,2,birthday card
21,Personalised 60th Birthday Wooden Freestanding Heart With Lucky Sixpence From 1960 Birthday Card Gift Alternative,1,1,5,168,12.95,1,"14,611",20,"Laser-cut pop-up card, made with one piece of card and no glue. Made in the UK and provided with an envelope. POSTAGE: UK - From 5 Sept 2020 all orders will be sent Royal Mail Tracked 48 as standard. Upgrades for First Class and Special Delivery available - (all tracked) Outside the UK - We only",4.0,2.95,1,United Kingdom,1,birthday card
22,Mother's Day & Birthday Card | Mamaa Ooh Ooh Ooooh | Funny Mother's Day Cards,101,1,5,"3,308",2.95,1,"5,321",12,Individually Handmade in the U.K using FSC Certified Card  Finish: Premium Matte Size: 14.5cm x 14.5cm Inside left blank for your own message 100% Recycled Kraft Envelope 100% Bio-Degradable Wrap   Processing Time & Delivery Your order will be processed and dispatched on the next working day U.K 2nd,4.0,0.0,0,United Kingdom,2,birthday card
23,Prosecco O'Clock Card | Birthday For Her | Celebration Card,25,1,5,194,3.50,1,"27,326",20,"♻️ Recycled Paper & Card ✅ 🏖 Biodegradable Packaging ✅ 📬 Express Shipping ✅ 💌 Designs Youll Love ✅  Is this the real life? Is this the best mothers day card? (Yes it is)  Just choose your size and inside of card option, well handle the rest.  We can even send cards directly to your loved ones, just",,0.95,1,United Kingdom,2,birthday card
24,"Pagoda Greeting Card, Kew Gardens London, Japanese Happy Birthday Card, Landscape Art, Original Watercolour, Watercolor, Botanical Painting",69,1,5,40,3.00,1,"1,143",20,This prosecco card is perfect for all fizz lovers! The lettering reads Prosecco Oclock.  Digitally printed onto 300gsm Tintoretto Gesso paper that looks and feels extra special and comes with a recycled brown envelope.  Blank inside for your own message  Size of card: A6 in size when folded  If,3.0,0.0,1,United Kingdom,1,birthday card
25,Balloons - Funny Scratch Birthday Card - Rude Adult Naughty 18+ Blow Job Sex Prize Boyfriend Girlfriend Husband Wife Partner Cheeky Love,108,0,5,"1,443",3.49,1,"17,000",20,"The Funky Card Co  *If custom option is chosen, Please leave your desired message in the notes at checkout or drop us a message.  • Single words or short phrases fit best  • Please clearly note exactly what you printed in EACH of the three balloons.  ✉️ CARD DETAILS ✉️   • Card size - A6 (folded A5)",3.0,0.0,0,United Kingdom,1,birthday card
26,Plants | Succelents | Have An Unbeleafable Birthday | Punny Card | Pun Birthday Card | Greetings Card | Funny Card | Blank Inside | Birthday,61,0,5,151,2.80,1,"1,002",19,"Have an unbe-leaf-able birthday! Lets soak up the rays and enjoy a birthday cheers in the sunshine - hopefully  Theres lots of love and hugs stuffed inside of this little card so why not send a loved one this quirky, colourful, birthday card to let them know youre thinking of them on their special",3.0,0.0,0,United Kingdom,2,birthday card
27,Happy Birthday Card | Floral Watercolour Birthday Card | Birthday Card | Blank Inside |  Kraft Envelope | Greetings Card,124,0,5,24,3.00,1,165,10,"Happy Birthday!  I love receiving and sending birthday cards, especially during times like these when you cant meet up with your friends and family to celebrate! However, you can still let them know youre thinking of them! Im sure theyd be so excited to receive this in the mail :)  I originally",5.0,0.0,0,United Kingdom,3,birthday card
28,"Happy birthday card, Bird birthday card, Nature lover birthday card, 3d Birthday card, Wife birthday card, Mum birthday card, birthday card",14,0,5,"2,366",4.99,1,"14,064",20,"Each piece at Chau Art is originally hand designed and elaborately cut, which then be laser produced on 300 gsm FSC certified paper. Chaus designs are noted for their intricate and feminine visuals inspired by nature and the surrounding world, making it card a piece of miniature card to keep, to",2.0,0.99,1,United Kingdom,1,birthday card
29,"Personalised Handmade Birthday Card 40th, 50th, 60th, 70th, Sister, Friend, Daughter, Mum, Auntie, Cousin",23,0,5,"1,394",3.75,1,"9,545",20,"Beautiful Personalised Handmade Birthday Card.  * * * * * * * * * * *  Card Size: 150mm x 150mm  Card: Really sturdy 310gsm acid free, natural white textured photo inkjet greeting card.  Comes with a white insert sheet, matching envelope and is wrapped in cellophane.  * * * * * * * * * * *  Inside:",,0.99,0,United Kingdom,1,birthday card
30,"Birthday Card, Hedgehog Card, Birthday Cards, Funny Cards, Hedgehug Card, Cute Animal Cards, Illustrated Card, Celebration Card, Animal Card",9,0,5,743,3.35,1,"4,761",20,"An incredibly cute A6 card featuring a hand illustrated Hedgehog, with text Heres a birthday Hedge-hug.  ○ A6 size (105 x 148mm / 4.25 x 6.25) ○ Blank inside for your own message. ○ Kraft envelope included. ○ FSC certified Matt-finish 300gsm card.  Get any 3 Cards for £7:",4.0,0.0,1,United Kingdom,4,birthday card
